iter	Passed	Remaining
0	144	143879
1	145	72637
2	147	49001
3	148	37038
4	150	29893
5	151	25071
6	152	21632
7	153	19047
8	156	17258
9	158	15646
10	159	14314
11	161	13278
12	162	12316
13	163	11512
14	164	10806
15	165	10195
16	167	9658
17	168	9179
18	171	8841
19	172	8467
20	173	8109
21	175	7805
22	176	7498
23	177	7215
24	178	6954
25	179	6712
26	180	6489
27	180	6281
28	181	6088
29	182	5908
30	183	5739
31	184	5593
32	185	5445
33	186	5310
34	187	5177
35	188	5052
36	189	4934
37	190	4822
38	191	4715
39	192	4614
40	193	4518
41	194	4427
42	195	4340
43	195	4256
44	199	4225
45	200	4149
46	200	4075
47	201	4003
48	202	3936
49	203	3870
50	204	3807
51	205	3745
52	206	3687
53	207	3630
54	208	3575
55	209	3523
56	209	3472
57	210	3422
58	213	3411
59	214	3366
60	215	3321
61	216	3277
62	217	3235
63	218	3194
64	219	3155
65	220	3116
66	221	3078
67	221	3042
68	222	3007
69	223	2972
70	224	2939
71	225	2906
72	226	2874
73	227	2846
74	228	2816
75	229	2787
76	230	2758
77	231	2730
78	231	2703
79	232	2676
80	233	2650
81	234	2625
82	234	2595
83	235	2571
84	236	2548
85	237	2525
86	238	2502
87	241	2503
88	242	2482
89	243	2461
90	244	2440
91	245	2420
92	246	2399
93	246	2380
94	247	2361
95	248	2342
96	249	2323
97	250	2305
98	251	2287
99	252	2269
100	253	2252
101	253	2235
102	257	2239
103	258	2229
104	259	2214
105	261	2203
106	262	2188
107	263	2172
108	263	2157
109	264	2142
110	265	2128
111	266	2113
112	267	2099
113	268	2085
114	269	2071
115	272	2075
116	273	2060
117	273	2047
118	274	2035
119	275	2022
120	276	2009
121	277	1995
122	278	1983
123	279	1971
124	279	1959
125	280	1948
126	281	1935
127	282	1923
128	283	1912
129	284	1901
130	287	1905
131	288	1895
132	289	1884
133	289	1874
134	290	1863
135	291	1853
136	292	1843
137	293	1833
138	294	1823
139	295	1813
140	296	1804
141	296	1792
142	297	1783
143	298	1774
144	299	1764
145	302	1769
146	303	1761
147	304	1754
148	305	1746
149	307	1739
150	308	1732
151	309	1723
152	309	1715
153	310	1707
154	311	1698
155	312	1690
156	313	1682
157	314	1674
158	317	1677
159	318	1670
160	318	1661
161	319	1653
162	320	1646
163	321	1638
164	322	1631
165	323	1623
166	324	1616
167	324	1609
168	325	1602
169	326	1595
170	327	1588
171	328	1582
172	329	1575
173	333	1584
174	334	1577
175	335	1570
176	336	1563
177	337	1557
178	338	1550
179	338	1544
180	339	1537
181	340	1531
182	341	1525
183	342	1519
184	343	1512
185	344	1506
186	345	1500
187	349	1508
188	350	1504
189	351	1499
190	353	1495
191	353	1489
192	354	1483
193	355	1477
194	356	1472
